SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
100319,0,Cash loans,F,N,Y,1,135000.0,781920.0,32868.0,675000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.022625,31.87,2.14,-7868.0,-2992,,1,1,1,1,1,0,,3.0,2,2,THURSDAY,8,0,0,0,0,0,0,Business Entity Type 3,0.6533675812543797,0.5652898364253501,0.4956658291397297,0.0835,0.1024,0.9891,0.8504,0.0481,0.0,0.1379,0.1667,0.2083,0.0987,0.0672,0.1035,0.0039,0.001,0.0851,0.1063,0.9891,0.8563,0.0486,0.0,0.1379,0.1667,0.2083,0.1009,0.0735,0.1078,0.0039,0.001,0.0843,0.1024,0.9891,0.8524,0.0484,0.0,0.1379,0.1667,0.2083,0.1004,0.0684,0.1053,0.0039,0.001,not specified,block of flats,0.1077,Panel,No,0.0,0.0,0.0,0.0,-2028.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
100369,0,Cash loans,F,N,Y,0,157500.0,528633.0,22527.0,472500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.0105,52.94,1.56,-67.0,-2779,,1,1,0,1,0,0,Laborers,2.0,3,3,TUESDAY,16,0,0,0,0,0,0,Self-employed,0.7192595409679079,0.2714429768279456,0.7713615919194317,0.4082,0.1639999999999999,0.9995,0.9932,0.0683,0.32,0.1379,0.625,0.6667,0.1931,0.3291,0.2011,0.0174,0.1108,0.2437,0.0867,0.9995,0.9935,0.0582,0.1611,0.069,0.625,0.6667,0.1872,0.2048,0.1829,0.0,0.0,0.4122,0.1639999999999999,0.9995,0.9933,0.0687,0.32,0.1379,0.625,0.6667,0.1965,0.3348,0.2047,0.0175,0.1131,reg oper account,block of flats,0.2178,Block,No,0.0,0.0,0.0,0.0,-459.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,1.0
100807,0,Cash loans,M,Y,Y,2,180000.0,675000.0,32602.5,675000.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.030755,38.39,4.46,-7148.0,-4575,7.0,1,1,0,1,0,0,Laborers,4.0,2,2,FRIDAY,11,0,0,0,0,1,1,Business Entity Type 3,,0.5711913307583382,0.4400578303966329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,2.0
101134,0,Cash loans,F,Y,N,0,135000.0,450000.0,23107.5,450000.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.004849,41.58,8.35,-3141.0,-3160,12.0,1,1,0,1,1,0,Managers,2.0,2,2,FRIDAY,16,0,0,0,0,1,1,Hotel,0.4935547528006813,0.4102190440498561,0.5136937663039473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1371.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
101418,0,Cash loans,M,Y,N,0,156600.0,450000.0,41773.5,450000.0,Unaccompanied,Commercial associate,Higher education,Civil marriage,With parents,0.04622,23.54,0.57,-196.0,-1093,17.0,1,1,1,1,0,0,Core staff,2.0,1,1,THURSDAY,14,0,0,0,1,1,0,Trade: type 2,0.2591879612615493,0.0065730202121243,,0.0557,0.0403,0.9851,0.7959999999999999,0.0116,0.04,0.0345,0.3333,0.375,,0.0454,0.0511,0.0,0.0,0.0567,0.0418,0.9851,0.804,0.0117,0.0403,0.0345,0.3333,0.375,,0.0496,0.0533,0.0,0.0,0.0562,0.0403,0.9851,0.7987,0.0116,0.04,0.0345,0.3333,0.375,,0.0462,0.0521,0.0,0.0,reg oper account,block of flats,0.0402,"Stone, brick",No,0.0,0.0,0.0,0.0,-19.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
101433,0,Cash loans,F,N,Y,0,315000.0,751500.0,27121.5,751500.0,Unaccompanied,Pensioner,Higher education,Married,House / apartment,0.0145199999999999,58.7,,-6946.0,-4753,,1,0,0,1,0,0,,2.0,2,2,FRIDAY,12,0,0,0,0,0,0,XNA,0.7481824169903974,0.6366835406653624,0.6313545365850379,0.0928,0.0706,0.9861,0.8096,0.0,0.12,0.1034,0.3333,0.375,0.0424,0.0756,0.1033,0.0,0.0,0.0945,0.072,0.9861,0.8171,0.0,0.1208,0.1034,0.3333,0.375,0.0433,0.0826,0.1076,0.0,0.0,0.0937,0.0706,0.9861,0.8121,0.0,0.12,0.1034,0.3333,0.375,0.0431,0.077,0.1052,0.0,0.0,reg oper spec account,block of flats,0.0812,Panel,No,0.0,0.0,0.0,0.0,-1078.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
102943,0,Cash loans,F,Y,Y,0,63000.0,479637.0,18211.5,396000.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.002134,62.56,,-6370.0,-4033,2.0,1,0,0,1,0,0,,1.0,3,3,THURSDAY,9,0,0,0,0,0,0,XNA,,0.6950708446203779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,1.0,-391.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
103100,0,Cash loans,F,N,N,0,81000.0,814041.0,26257.5,679500.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.018801,38.81,4.02,-4486.0,-4492,,1,1,0,1,1,0,Core staff,2.0,2,2,MONDAY,18,0,0,0,0,0,0,Kindergarten,0.7112503999844827,0.1929997152453824,0.4489622731076524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,6.0,0.0,-646.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0
103537,0,Cash loans,F,Y,Y,0,180000.0,1223010.0,51948.0,1125000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.007305,52.61,18.47,-6871.0,-2744,11.0,1,1,0,1,0,0,Managers,2.0,3,3,SATURDAY,7,0,0,0,0,0,0,Trade: type 7,0.8353153000874675,0.7601497415765964,0.838724852442103,0.1907,0.1014,0.9851,0.7959999999999999,0.0,0.2,0.1724,0.3333,0.0417,,,0.1996,,0.0,0.1943,0.1053,0.9851,0.804,0.0,0.2014,0.1724,0.3333,0.0417,,,0.208,,0.0,0.1926,0.1014,0.9851,0.7987,0.0,0.2,0.1724,0.3333,0.0417,,,0.2032,,0.0,,block of flats,0.157,Panel,No,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
104312,0,Cash loans,F,N,Y,3,90000.0,675000.0,26154.0,675000.0,Unaccompanied,Working,Secondary / secondary special,Married,Office apartment,0.008575,32.34,1.69,-1763.0,-3154,,1,1,1,1,0,0,Laborers,5.0,2,2,MONDAY,8,0,0,0,0,0,0,Industry: type 3,0.5594902564118008,0.4646518675412491,0.3233112448967859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-390.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
